Burger King,,,,,,
WHOPPER Sandwich,3.79,630,35,25,57,980
DOUBLE WHOPPER Sandwich,4.89,830,50,42,57,1040
WHOPPER JR. Sandwich,1.89,340,19,14,28,510
Cheeseburger,1,280,12,15,32,690
Double Cheeseburger,1.69,370,18,22,32,720
BK Bacon Burger,1,320,17,14,31,500
Bacon Cheeseburger,1.29,310,14,17,32,770
Double Bacon Cheeseburger,1.99,440,24,26,32,940
BK Single Stacker,1.29,370,21,16,32,690
Original Chicken Sandwich,4.09,630,39,24,46,1390
Home-style Chicken Strips - 5pc,5.09,610,32,23,57,2340
Chicken Nuggets - 4pc,1.19,190,11,8,13,360
Chicken Nuggets - 10pc,2.99,470,29,21,34,890
Chicken Nuggets - 20pc,4.99,950,57,42,67,1790
Premium Alaskan Fish Sandwich,3.39,530,28,16,54,1380
BK VEGGIE Burger,3.29,410,16,21,48,960
Chicken Caesar Garden Fresh Salad,6.09,610,80,36,40,1760
Chicken Wrap,2.09,370,21,19,34,1020
Onion Rings - small,1.79,320,8,3,41,840
Onion Rings - medium,2.19,410,16,4,53,1080
Onion Rings - large,2.39,500,21,5,64,1310
French Fries - small,1.79,340,15,4,49,480
French Fries - medium,2.19,410,18,4,58,570
French Fries - large,2.39,500,22,5,72,710
Mozzarella Sticks - 4pc,1.99,280,15,11,24,650
Quaker Oatmeal Maple and Brown Sugar Flavor,3.59,270,4,5,55,290
Sausage Breakfast Burrito,3.89,290,17,14,21,830
Southwestern Breakfast Burrito,2.49,580,35,23,41,1690
BK Breakfast Muffin Sandwich,4.49,288,7,20,23,1090
BK Ultimate Breakfast Platter,4.59,1450,84,40,134,2920
Pancake and Sausage platter,3.48,670,34,14,78,1010
CROISSAN'WICH,2.79,450,30,19,26,1030
DOUBLE CROISSAN'WICH,3.39,660,48,29,27,1670
Sausage Biscuit,1,420,27,13,32,1090
French Toast Sticks - 5pc,1.99,380,18,5,49,430
