Mc Donalds,,,,,,
Big Mac,3.99,550,29,25,16,970
Quarter Pounder w/ Cheese,3.79,520,26,30,41,1100
Bacon Clubhouse Burger,4.49,720,40,39,51,1470
Quarter Pounder Bacon Habanero Ranch,4.09,610,31,37,46,1180
Double Quarter Pounder with Cheese,4.79,750,43,48,42,1280
Cheeseburger,0.99,300,12,12,33,680
BBQ Ranch Burger,1,350,16,16,37,680
McDouble,1.19,390,19,23,33,850
Bacon McDouble,2,460,24,28,34,1120
Daily Double,1.99,440,24,23,33,770
Bacon Clubhouse Crispy Chicken Sandwich,4.49,750,38,36,65,1720
Premium Crispy Chicken Club Sandich,4.29,670,33,36,58,1410
McChicken,1,360,16,14,40,800
Bacon Buffalo Ranch McChicken,2,420,20,20,41,1250
Filet-O-Fish,3.69,390,19,15,39,590
McRib,3.19,500,26,22,44,980
Premium McWrap Southwest Chicken (Crispy),3.99,670,33,27,67,1450
Premium McWrap Chicken & Bacon (Crispy),3.99,620,31,32,54,1490
Chicken Nuggets (20),5,940,59,44,59,1800
Mighty Wings (10),9.69,960,63,60,61,1990
Chicken Nuggets (40),10,1880,118,87,118,1880
Premium Southwest Salad with Grilled Chicken,4.79,450,190,23,42,820
Small French Fries,1.19,230,11,3,29,160
Ranch Snack Wrap (Crispy),1.69,350,18,15,32,790
Large French Fries,1.7,500,25,6,63,350
McFlurry w/ M&M's (16oz),2.39,930,33,20,139,260
