Subway,,,,,,
Black Forest Ham,3.5,290,5,18,46,800
Oven Roasted Chicken,4,320,5,23,47,610
Roast Beef,4.75,320,5,24,45,660
Subway Club,4.5,310,5,23,46,800
Sweet Onion Chicken Teriyaki,4.5,370,5,25,57,770
Turkey Breast,4.25,280,4,18,46,670
Turkey Breast & Ham,4.25,280,4,18,46,730
Veggie Delite,5,230,3,8,44,280
Veggie Delite Mini Sub,3.5,150,2,6,29,190
B.L.T.,3.5,320,9,15,43,650
Big Philly Cheesesteak,5.5,500,17,38,51,1280
Chicken & Bacon Ranch Melt,4.75,570,28,35,47,1050
Cold Cut Combo,3.5,360,12,17,46,1030
Italian B.M.T.,4,410,16,20,46,1260
Meatball Marinara,3.75,480,18,21,59,920
Spicy Italian,3.75,480,24,20,46,1490
Spicy Tuna,4.25,520,28,21,46,850
Sriracha Chicken Melt,4.75,400,11,27,46,870
Sriracha Steak Melt,4.75,430,14,26,49,1210
Steak and Cheese,4.75,380,10,26,48,1030
Subway Melt,4.5,370,11,23,47,1130
Tuna,4.25,480,25,20,44,600
