Taco Bell,,,,,,,,
Chicken Soft Taco,1.79,160,5,12,16,480,,
Cool Ranch Doritos Locos Taco,1.39,160,10,8,13,370,,
Cool Ranch Doritos Locos Taco Supreme,1.79,200,12,8,15,390,,
Crunchy Taco,0.99,170,10,8,12,310,,
Crunchy Taco Supreme,1.39,200,12,8,15,340,,
Double Decker Taco Supreme,2.29,350,16,14,38,730,,
Fiery Doritos Locos Taco,1.39,170,10,8,12,370,,
Fiery Doritos Locos Taco Supreme,1.79,200,12,9,15,400,,
Grilled Steak Soft Taco,2.29,200,10,13,16,490,,
Nacho Cheese Doritos Locos Taco,1.39,170,10,8,13,360,,
Nacho Cheese Doritos Locos Taco Supreme,1.79,200,11,9,15,390,,
Soft Taco Supreme - Beef,1.49,220,11,10,20,520,,
Soft Taco - Beef,1.09,190,9,9,17,500,,
Beefy 5-layer Burrito,1.59,510,20,19,64,1290,,
Beefy Nacho Griller,1.49,400,18,12,48,910,,
Chipotle Ranch Chicken Loaded Griller,1.49,350,16,14,37,760,,
Loaded Potato Griller,1.49,450,21,13,54,1140,,
Smothered burrito - Beef,2.99,310,35,28,68,2260,,
Smothered burrito - Shredded Chicked,3.99,250,28,34,65,2220,,
Smothered burrito - Steak,3.99,270,30,36,65,2160,,
7-Layer burrito,2.29,430,16,15,57,1020,,
Cheesy Nachos,0.99,280,15,3,32,360,,
Nacho Supreme,2.29,450,24,13,46,860,,
Nachos BellGrande,3.29,760,39,19,85,1320,,
Catina Bowl - Chicken,4.79,530,21,26,59,1450,,
Catina Bowl - Steak,4.99,530,23,27,59,1470,,
Catina Bowl - veggie,4.79,510,20,14,69,1240,,
